arffFilename,Learner,ExampleBasedAccuracy,ExampleBasedPrecision,ExampleBasedRecall,HammingLoss,SubsetAccuracy,ExampleBasedFMeasure,AverageMAE,AveragePrecision,AverageRMSE,Coverage,ErrorSetSize,ExampleBasedSpecificity,LogLoss,MacroFMeasure,MacroPrecision,MacroRecall,MacroSpecificity,MeanAveragePrecision,MeanSquaredError,MicroAUC,MicroFMeasure,MicroPrecision,MicroRecall,MicroSpecificity,OneError,RankingLoss,RootMeanSquaredError
data/Genbase_Mulan/Genbase.arff,EnsembleOfClassifierChainsME,0.2980,0.3323,0.2980,0.0341,0.2764,0.3071,NaN,0.8003,NaN,3.0904,3.6241,1.0000,9.0990,0.4192,0.4741,0.4053,1.0000,0.9393,0.8659,0.9474,0.4175,1.0000,0.2663,1.0000,0.2175,0.0810,0.9286
data/Genbase_Mulan/Genbase.arff,EnsembleOfClassifierChainsDT(S),0.0982,0.1044,0.3967,0.1615,0.0000,0.1594,NaN,NaN,NaN,NaN,NaN,0.8609,NaN,0.4083,0.5227,0.4005,0.8669,NaN,NaN,NaN,0.1802,0.1203,0.3785,0.8610,NaN,NaN,NaN
data/Medical_Mulan/Medical.arff,EnsembleOfClassifierChainsMV,0.3736,0.4224,0.4401,0.0248,0.2730,0.4094,NaN,0.5594,NaN,9.1911,9.2706,0.9902,14.6862,0.5334,0.5445,0.5360,0.9888,0.2118,1.0244,0.7665,0.4985,0.5700,0.4477,0.9902,0.4897,0.1788,1.0118
data/Medical_Mulan/Medical.arff,EnsembleOfClassifierChainsME,0.3714,0.4217,0.4365,0.0248,0.2710,0.4072,NaN,0.6429,NaN,6.3934,6.3207,0.9903,10.5749,0.5318,0.5442,0.5344,0.9889,0.3122,1.0051,0.9201,0.4957,0.5697,0.4436,0.9903,0.4285,0.1195,1.0021
data/Medical_Mulan/Medical.arff,EnsembleOfClassifierChainsDT(S),0.0253,0.0254,0.5338,0.5824,0.0000,0.0483,NaN,NaN,NaN,NaN,NaN,0.4138,NaN,0.1185,0.1228,0.2597,0.4261,NaN,NaN,NaN,0.0495,0.0259,0.5468,0.4138,NaN,NaN,NaN
data/3sources_guardian1000_Mulan/3sources_guardian1000.arff,EnsembleOfClassifierChainsMV,0.0773,0.0851,0.0961,0.2059,0.0562,0.0854,NaN,0.5400,NaN,2.0185,1.9424,0.9547,8.6521,0.1016,0.1847,0.0759,0.9530,0.3568,1.0034,0.6301,0.1481,0.3186,0.1008,0.9544,0.6789,0.3690,1.0007
data/3sources_guardian1000_Mulan/3sources_guardian1000.arff,EnsembleOfClassifierChainsME,0.0790,0.0867,0.0961,0.2037,0.0596,0.0866,NaN,0.5437,NaN,2.0019,1.9225,0.9575,8.6487,0.1019,0.1889,0.0759,0.9560,0.3612,1.0032,0.6317,0.1499,0.3347,0.1008,0.9571,0.6723,0.3650,1.0007
data/3sources_guardian1000_Mulan/3sources_guardian1000.arff,EnsembleOfClassifierChainsDT(S),0.0778,0.0856,0.0961,0.2037,0.0562,0.0859,NaN,NaN,NaN,NaN,NaN,0.9574,NaN,0.1026,0.1911,0.0759,0.9561,NaN,NaN,NaN,0.1500,0.3321,0.1008,0.9571,NaN,NaN,NaN
data/Water-quality_Mulan/Water-quality.arff,EnsembleOfClassifierChainsMV,0.3869,0.4583,0.7303,0.4239,0.0019,0.5329,NaN,0.5970,NaN,9.6717,14.2217,0.4877,56.0191,0.5241,0.4707,0.7066,0.4737,0.5058,5.0063,0.6484,0.5545,0.4483,0.7284,0.4896,0.4925,0.3469,2.2367
data/Water-quality_Mulan/Water-quality.arff,EnsembleOfClassifierChainsME,0.3870,0.4600,0.7295,0.4233,0.0019,0.5333,NaN,0.6236,NaN,9.5368,13.5358,0.4897,23.5417,0.5237,0.4705,0.7048,0.4757,0.5371,4.6721,0.6593,0.5544,0.4487,0.7270,0.4914,0.4151,0.3308,2.1610
data/Water-quality_Mulan/Water-quality.arff,EnsembleOfClassifierChainsDT(S),0.3923,0.4734,0.7021,0.3998,0.0019,0.5369,NaN,NaN,NaN,NaN,NaN,0.5342,NaN,0.5349,0.4786,0.6874,0.5253,NaN,NaN,NaN,0.5612,0.4664,0.7060,0.5402,NaN,NaN,NaN
data/3sources_inter3000_Mulan/3sources_inter3000.arff,EnsembleOfClassifierChainsMV,0.0059,0.0088,0.0088,0.2011,0.0000,0.0078,NaN,0.4171,NaN,2.7265,2.6849,0.9846,16.3258,0.0597,0.0833,0.0558,0.9839,0.3055,1.1374,0.4998,0.0154,0.0583,0.0089,0.9841,0.8224,0.5016,1.0654
data/3sources_inter3000_Mulan/3sources_inter3000.arff,EnsembleOfClassifierChainsME,0.0088,0.0118,0.0088,0.2001,0.0059,0.0098,NaN,0.4171,NaN,2.7265,2.6849,0.9858,16.3257,0.0597,0.0833,0.0558,0.9852,0.3029,1.1374,0.5112,0.0157,0.0667,0.0089,0.9854,0.8224,0.5016,1.0654
data/3sources_inter3000_Mulan/3sources_inter3000.arff,EnsembleOfClassifierChainsDT(S),0.0059,0.0088,0.0088,0.2011,0.0000,0.0078,NaN,NaN,NaN,NaN,NaN,0.9846,NaN,0.0597,0.0833,0.0558,0.9839,NaN,NaN,NaN,0.0154,0.0583,0.0089,0.9841,NaN,NaN,NaN
data/Enron_Mulan/Enron.arff,EnsembleOfClassifierChainsMV,0.2444,0.3574,0.6470,0.1812,0.0053,0.3596,NaN,0.4348,NaN,25.4184,36.9049,0.8361,79.0755,0.1856,0.1725,0.3353,0.8193,0.2035,7.8537,0.7583,0.2962,0.1971,0.5973,0.8338,0.5605,0.2143,2.8010
data/Enron_Mulan/Enron.arff,EnsembleOfClassifierChainsME,0.2448,0.3587,0.6449,0.1797,0.0047,0.3601,NaN,0.4648,NaN,23.9472,34.0123,0.8379,69.5294,0.1852,0.1735,0.3317,0.8210,0.2215,7.8311,0.7794,0.2973,0.1983,0.5955,0.8356,0.5253,0.1981,2.7970
data/Enron_Mulan/Enron.arff,EnsembleOfClassifierChainsDT(S),0.2484,0.3633,0.6460,0.1745,0.0047,0.3649,NaN,NaN,NaN,NaN,NaN,0.8434,NaN,0.2060,0.1950,0.3539,0.8279,NaN,NaN,NaN,0.3034,0.2038,0.5951,0.8412,NaN,NaN,NaN
data/CAL500_Mulan/CAL500.arff,EnsembleOfClassifierChainsMV,0.2212,0.2834,0.5077,0.2892,0.0000,0.3483,NaN,0.3433,NaN,150.7296,1184.1744,0.7465,200.4779,0.2425,0.2099,0.3711,0.7227,0.2702,36.3180,0.6868,0.3458,0.2616,0.5114,0.7460,0.6219,0.3137,6.0256
data/CAL500_Mulan/CAL500.arff,EnsembleOfClassifierChainsME,0.2210,0.2855,0.5013,0.2855,0.0000,0.3477,NaN,0.3523,NaN,144.8825,1140.0920,0.7521,148.0070,0.2440,0.2130,0.3685,0.7285,0.2729,36.1155,0.6923,0.3458,0.2634,0.5048,0.7515,0.5342,0.3021,6.0088
data/CAL500_Mulan/CAL500.arff,EnsembleOfClassifierChainsDT(S),0.2186,0.2802,0.5030,0.2909,0.0000,0.3447,NaN,NaN,NaN,NaN,NaN,0.7454,NaN,0.2351,0.2018,0.3641,0.7227,NaN,NaN,NaN,0.3424,0.2590,0.5068,0.7448,NaN,NaN,NaN
data/Emotions_Mulan/Emotions.arff,EnsembleOfClassifierChainsMV,0.5301,0.5798,0.7516,0.2468,0.2310,0.6270,NaN,0.7502,NaN,1.9393,1.5092,0.7610,15.2992,0.6421,0.5731,0.7462,0.7517,0.6313,1.2718,0.8030,0.6543,0.5807,0.7513,0.7544,0.3912,0.2076,1.1270
data/Emotions_Mulan/Emotions.arff,EnsembleOfClassifierChainsME,0.5322,0.5818,0.7494,0.2454,0.2361,0.6278,NaN,0.7659,NaN,1.8703,1.3728,0.7640,10.1801,0.6425,0.5754,0.7440,0.7552,0.6681,1.2506,0.8230,0.6548,0.5830,0.7486,0.7576,0.3526,0.1900,1.1176
data/Emotions_Mulan/Emotions.arff,EnsembleOfClassifierChainsDT(S),0.5329,0.5814,0.7547,0.2459,0.2327,0.6295,NaN,NaN,NaN,NaN,NaN,0.7609,NaN,0.6453,0.5752,0.7508,0.7520,NaN,NaN,NaN,0.6559,0.5815,0.7540,0.7544,NaN,NaN,NaN
data/Langlog_Mulan/Langlog.arff,EnsembleOfClassifierChainsMV,0.1946,0.1956,0.8158,0.2111,0.1418,0.2382,NaN,0.2625,NaN,13.6719,15.7712,0.7889,133.3871,0.2820,0.2614,0.5677,0.7848,0.1241,13.1350,0.8307,0.1017,0.0545,0.7591,0.7894,0.8863,0.1464,3.6227
data/Langlog_Mulan/Langlog.arff,EnsembleOfClassifierChainsME,0.1948,0.1959,0.8136,0.2093,0.1418,0.2386,NaN,0.2720,NaN,13.3493,15.3589,0.7908,117.9304,0.2831,0.2626,0.5657,0.7867,0.1419,13.1190,0.8544,0.1022,0.0548,0.7562,0.7913,0.8849,0.1427,3.6205
data/Langlog_Mulan/Langlog.arff,EnsembleOfClassifierChainsDT(S),0.1958,0.1970,0.8125,0.2066,0.1418,0.2401,NaN,NaN,NaN,NaN,NaN,0.7935,NaN,0.2717,0.2509,0.5571,0.7895,NaN,NaN,NaN,0.1031,0.0553,0.7543,0.7940,NaN,NaN,NaN
data/Image_Mulan/Image.arff,EnsembleOfClassifierChainsMV,0.3573,0.3834,0.8008,0.4169,0.0755,0.4812,NaN,0.6887,NaN,1.3080,1.1820,0.5226,24.0113,0.4886,0.3836,0.7733,0.5188,0.4333,1.8553,0.6918,0.4787,0.3467,0.7739,0.5204,0.4870,0.2582,1.3616
data/Image_Mulan/Image.arff,EnsembleOfClassifierChainsME,0.3571,0.3835,0.7993,0.4162,0.0760,0.4809,NaN,0.6980,NaN,1.2845,1.1615,0.5243,21.4583,0.4881,0.3837,0.7714,0.5204,0.5041,1.8525,0.7131,0.4785,0.3468,0.7719,0.5220,0.4725,0.2522,1.3606
data/Image_Mulan/Image.arff,EnsembleOfClassifierChainsDT(S),0.3579,0.3850,0.7963,0.4115,0.0740,0.4818,NaN,NaN,NaN,NaN,NaN,0.5318,NaN,0.4900,0.3862,0.7683,0.5281,NaN,NaN,NaN,0.4801,0.3493,0.7682,0.5295,NaN,NaN,NaN
data/Yeast_Mulan/Yeast.arff,EnsembleOfClassifierChainsMV,0.4309,0.5414,0.6139,0.2928,0.1084,0.5466,NaN,0.6593,NaN,8.0233,10.8432,0.7558,33.3138,0.4491,0.4239,0.5139,0.7218,0.4494,3.3878,0.7345,0.5545,0.5139,0.6026,0.7526,0.3542,0.2819,1.8402
data/Yeast_Mulan/Yeast.arff,EnsembleOfClassifierChainsME,0.4294,0.5419,0.6097,0.2924,0.1088,0.5452,NaN,0.6738,NaN,7.5053,9.9635,0.7580,14.4566,0.4477,0.4242,0.5096,0.7243,0.4755,3.2352,0.7551,0.5534,0.5146,0.5989,0.7548,0.3335,0.2575,1.7983
data/Yeast_Mulan/Yeast.arff,EnsembleOfClassifierChainsDT(S),0.4253,0.5310,0.6149,0.3012,0.1047,0.5416,NaN,NaN,NaN,NaN,NaN,0.7430,NaN,0.4498,0.4218,0.5263,0.7129,NaN,NaN,NaN,0.5483,0.5022,0.6043,0.7399,NaN,NaN,NaN
data/Scene_Mulan/Scene.arff,EnsembleOfClassifierChainsMV,0.4589,0.4661,0.8551,0.2345,0.1778,0.5715,NaN,0.7102,NaN,0.9249,0.8754,0.7491,19.0311,0.5811,0.4531,0.8468,0.7449,0.5065,1.3022,0.8296,0.5638,0.4227,0.8468,0.7478,0.4957,0.1674,1.1409
data/Scene_Mulan/Scene.arff,EnsembleOfClassifierChainsME,0.4600,0.4672,0.8534,0.2337,0.1803,0.5720,NaN,0.7311,NaN,0.8534,0.8019,0.7505,17.2961,0.5814,0.4540,0.8452,0.7463,0.5837,1.2994,0.8610,0.5642,0.4236,0.8452,0.7491,0.4616,0.1534,1.1397
data/Scene_Mulan/Scene.arff,EnsembleOfClassifierChainsDT(S),0.4617,0.4689,0.8542,0.2324,0.1824,0.5735,NaN,NaN,NaN,NaN,NaN,0.7519,NaN,0.5832,0.4558,0.8462,0.7477,NaN,NaN,NaN,0.5659,0.4252,0.8460,0.7505,NaN,NaN,NaN
data/HumanGO_Mulan/HumanGO.arff,EnsembleOfClassifierChainsMV,0.6639,0.6872,0.8288,0.0558,0.4987,0.7227,NaN,0.8486,NaN,1.0947,0.9898,0.9569,7.4546,0.5885,0.5145,0.7487,0.9530,0.6180,0.6631,0.9334,0.7105,0.6344,0.8081,0.9568,0.2222,0.0597,0.8133
data/HumanGO_Mulan/HumanGO.arff,EnsembleOfClassifierChainsME,0.6633,0.6880,0.8269,0.0556,0.4984,0.7221,NaN,0.8769,NaN,0.6823,0.5448,0.9573,4.0741,0.5896,0.5164,0.7479,0.9535,0.6677,0.6331,0.9677,0.7106,0.6361,0.8056,0.9572,0.1958,0.0332,0.7947
data/HumanGO_Mulan/HumanGO.arff,EnsembleOfClassifierChainsDT(S),0.6685,0.6904,0.8388,0.0560,0.5009,0.7284,NaN,NaN,NaN,NaN,NaN,0.9557,NaN,0.5885,0.5123,0.7555,0.9517,NaN,NaN,NaN,0.7124,0.6310,0.8186,0.9556,NaN,NaN,NaN
data/Reuters-K500_Mulan/Reuters-K500.arff,EnsembleOfClassifierChainsMV,0.1453,0.1511,0.8543,0.2797,0.0372,0.2081,NaN,0.4261,NaN,15.2823,18.6063,0.7190,248.5277,0.1085,0.0800,0.6165,0.7184,0.0863,23.4758,0.8349,0.0773,0.0405,0.8244,0.7188,0.7198,0.1154,4.8444
data/Reuters-K500_Mulan/Reuters-K500.arff,EnsembleOfClassifierChainsME,0.1470,0.1529,0.8534,0.2775,0.0383,0.2101,NaN,0.4327,NaN,15.0107,18.2318,0.7212,242.8797,0.1088,0.0802,0.6145,0.7206,0.0985,23.4720,0.8462,0.0777,0.0408,0.8232,0.7210,0.7085,0.1128,4.8440
data/Reuters-K500_Mulan/Reuters-K500.arff,EnsembleOfClassifierChainsDT(S),0.1463,0.1522,0.8530,0.2697,0.0382,0.2092,NaN,NaN,NaN,NaN,NaN,0.7291,NaN,0.1479,0.1192,0.6569,0.7285,NaN,NaN,NaN,0.0798,0.0419,0.8230,0.7290,NaN,NaN,NaN
